MIDPNT_LON, ALLVEH_AMPEAK, FLOW, LABEL, ALLVEHS_AADT, LOCATION_ID, ALLVEH_PMPEAK, YR,MIDPNT_LAT, GROWTH_RATE, OBJECTID
145.1405588,,SOUTH BOUND,"11,000* (3% 382*) SOUTH BOUND",11000,4479,,2017,-37.80914252,-0.014,355569
145.1244772,,SOUTH BOUND,"9,700* (6% 599*) SOUTH BOUND",9700,3962,,2017,-37.89915096,-0.011,355570
145.1116857,,SOUTH BOUND,"18,000* (7% 1,200*) SOUTH BOUND",18000,4147,,2017,-37.97227931,-0.001,355571
145.0640106,,EAST BOUND,"5,400* (6% 333*) EAST BOUND",5400,3553,,2017,-37.79344541,0.011,355572
145.2354703,,SOUTH BOUND,"5,900* (7% 425*) SOUTH BOUND",5900,4487,,2017,-37.74653621,0.005,355573
145.0807953,,EAST BOUND,"6,300* (6% 388*) EAST BOUND",6300,3558,,2017,-37.76018166,-0.001,355574
145.2098988,,NORTH EAST BOUND,"3,900* (7% 257*) NORTH EAST BOUND",3900,4492,,2017,-37.74738978,-0.011,355575
145.1136804,965,NORTH EAST BOUND,"21,000 (5% 982*) NORTH EAST BOUND",21000,4498,2400,2017,-37.68888594,0.021,355576
144.9909971,925,EAST BOUND,"17,000 (8% 1,400*) EAST BOUND",17000,4241,1800,2017,-37.69279967,0.003,355579
144.7856292,,EAST BOUND,"16,000* (12% 2,000*) EAST BOUND",16000,3601,,2017,-37.84455181,0.033,355581
144.8488856,,SOUTH BOUND,"10,000* (6% 648*) SOUTH BOUND",10000,4010,,2017,-37.82469727,-0.008,355582
144.5800319,,EAST BOUND,"3,700* (6% 220*) EAST BOUND",3700,4013,,2017,-38.17409788,0.033,355583
144.9148252,,EAST BOUND,"2,100* (6% 132*) EAST BOUND",2100,4542,,2017,-37.83694783,-0.004,355584
144.964583,,SOUTH EAST BOUND,"18,000* (4% 730*) SOUTH EAST BOUND",18000,4018,,2017,-37.85568813,-0.006,355585
144.9895373,,SOUTH BOUND,"12,000* (6% 768*) SOUTH BOUND",12000,4546,,2017,-37.89778574,0.006,355586
145.0518653,,SOUTH EAST BOUND,"8,200* (6% 494*) SOUTH EAST BOUND",8200,4208,,2017,-37.98590651,-0.004,355587
145.0741427,,EAST BOUND,"14,000* (7% 998*) EAST BOUND",14000,4759,,2017,-37.96766173,0.003,355588
145.0390473,,EAST BOUND,"15,000* (2% 336*) EAST BOUND",15000,4815,,2017,-37.84469169,-0.005,355591
145.1128908,,SOUTH BOUND,"9,300* (3% 257*) SOUTH BOUND",9300,4623,,2017,-37.82772156,-0.001,355592
145.1244504,,SOUTH BOUND,"10,000* (6% 643*) SOUTH BOUND",10000,5152,,2017,-37.77770607,0.004,355593
145.071247,,SOUTH BOUND,"6,300* (6% 388*) SOUTH BOUND",6300,4549,,2017,-37.98272743,0.015,355603
145.0040434,948,EAST BOUND,"10,000 (6% 643*) EAST BOUND",10000,4553,989,2017,-37.9293184,0.012,355604
145.0268386,411,SOUTH BOUND,"6,400 (6% 398*) SOUTH BOUND",6400,4024,652,2017,-37.92550632,0,355605
144.9895374,,EAST BOUND,"4,400* (6% 270*) EAST BOUND",4400,3624,,2017,-37.8977851,0.013,355606
144.9824889,364,SOUTH BOUND,"7,400 (6% 455*) SOUTH BOUND",7400,4561,852,2017,-37.8602187,-0.008,355607
144.9842681,,EAST BOUND,"9,700* (4% 383*) EAST BOUND",9700,4578,,2017,-37.79895858,-0.01,355608
145.1054691,,SOUTH EAST BOUND,"19,000* (5% 1,000*) SOUTH EAST BOUND",19000,5240,,2017,-37.90082142,-0.002,355609
145.1726379,,SOUTH EAST BOUND,"22,000* (5% 1,200*) SOUTH EAST BOUND",22000,4298,,2017,-37.94753257,-0.002,355610
145.2146067,,SOUTH BOUND,"17,000* (6% 963*) SOUTH BOUND",17000,4917,,2017,-37.99011562,0.001,355611
145.2518465,,EAST BOUND,"28,000* (7% 2,000*) EAST BOUND",28000,5246,,2017,-38.0036344,0.018,355612
